노선ID,stn_seq,stn_nm,stn_name_mod,x,y
11110236,10,서울대학교,서울대학교,0,0.6
11110236,11,서울대학교치과병원.동물병원,서울대학교치과병원.동물병원,0,0.333333333
11110236,12,서울여상.서울문영여중고앞,서울여상.서울문영여중고앞,0,0.166666667
11110236,13,관악구청,관악구청,0,0
11110236,15,봉천사거리.봉천중앙시장,봉천사거리.봉천중앙시장,0,-0.166666667
11110236,16,봉원중학교.행운동우성아파트,봉원중학교.행운동우성아파트,0,-0.333333333
11110236,17,관악푸르지오아파트,관악푸르지오아파트,0,-0.5
11110236,18,봉천고개.관악현대아파트,봉천고개.관악현대아파트,0,-0.666666667
11110236,19,숭실대입구역,숭실대입구역,0,-0.833333333
11110236,20,상도1동주민센터.상도3차래미안,상도1동주민센터.상도3차래미안,0,-1
11110236,21,래미안상도3차중문,래미안상도3차중문,0,-1.166666667
11110236,22,상도3차삼성래미안후문,상도3차삼성래미안후문,0,-1.333333333
11110236,23,상도SH빌아파트상도팰리스후문,상도SH빌아파트상도팰리스후문,0,-1.5
11110236,24,중앙대후문,중앙대후문,0,-1.666666667
11110236,26,중앙대학교,중앙대학교,0.5,-1.666666667
11110236,31,상도SH빌아파트상도팰리스후문,상도SH빌아파트상도팰리스후문_2,0.5,-1.5
11110236,32,상도3차삼성래미안후문,상도3차삼성래미안후문_2,0.5,-1.333333333
11110236,33,금영빌딩,금영빌딩,0.5,-1.166666667
11110236,34,상도1동주민센터.상도3차래미안,상도1동주민센터.상도3차래미안_2,0.5,-1
11110236,35,숭실대입구역,숭실대입구역_2,0.5,-0.833333333
11110236,36,봉현초등학교,봉현초등학교,0.5,-0.75
11110236,37,성현동동아아파트,성현동동아아파트,0.5,-0.5
11110236,38,봉원중학교.행운동우성아파트,봉원중학교.행운동우성아파트_2,0.5,-0.333333333
11110236,39,봉천사거리.위버폴리스,봉천사거리.위버폴리스,0.5,-0.166666667
11110236,41,관악경찰서.관악소방서,관악경찰서.관악소방서,0.5,0
11110236,42,서울여상.서울문영여중고앞,서울여상.서울문영여중고앞_2,0.5,0.166666667
11110236,43,서울대학교치과병원.동물병원,서울대학교치과병원.동물병원_2,0.5,0.333333333
11110236,44,서울대학교,서울대학교_2,0.5,0.6
11110236,53,건설환경종합연구소앞,건설환경종합연구소앞,0.5,1
11110236,54,제2공학관,제2공학관,0,1
11110238,9,서울대학교,서울대학교,0,0.6
11110238,10,서울대학교치과병원.동물병원,서울대학교치과병원.동물병원,0,0.333333333
11110238,11,서울여상.서울문영여중고앞,서울여상.서울문영여중고앞,0,0.166666667
11110238,12,관악구청,관악구청,0,0
11110238,14,봉천사거리.봉천중앙시장,봉천사거리.봉천중앙시장,0,-0.166666667
11110238,15,봉원중학교.행운동우성아파트,봉원중학교.행운동우성아파트,0,-0.333333333
11110238,16,관악푸르지오아파트,관악푸르지오아파트,0,-0.5
11110238,22,벽산블루밍아파트종점,벽산블루밍아파트종점,0.25,-0.5
