노선id,노선번호,운행회차,회차,정류소번호명,정류소번호,정류소순번,정류소명,차량번호,운행출발일시,운행출발연월일시,하차일시,인원,누적인원
11110537,관악02,01,[01] 06:38,01_낙성대역,01,1,낙성대역,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:38,4,4
11110537,관악02,01,[01] 06:38,02_낙성대입구,02,2,낙성대입구,서울70사8904,06:38,2019-09-02 6:38,,0,4
11110537,관악02,01,[01] 06:38,03_인헌초등학교,03,3,인헌초등학교,서울70사8904,06:38,2019-09-02 6:38,,0,4
11110537,관악02,01,[01] 06:38,04_낙성대현대아파트,04,4,낙성대현대아파트,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:55,2,6
11110537,관악02,01,[01] 06:38,05_낙성대공원.관악복합평생교육센터,05,5,낙성대공원.관악복합평생교육센터,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:55,2,8
11110537,관악02,01,[01] 06:38,06_서울과학전시관,06,6,서울과학전시관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:57,1,9
11110537,관악02,01,[01] 06:38,07_호암교수회관,07,7,호암교수회관,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,08_인헌아파트,08,8,인헌아파트,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,09_교수아파트,09,9,교수아파트,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,10_가족생활동,10,10,가족생활동,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,11_서울대후문.연구공원,11,11,서울대후문.연구공원,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,12_학부생활관,12,12,학부생활관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:00,4,13
11110537,관악02,01,[01] 06:38,13_대학원생활관,13,13,대학원생활관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:01,1,14
11110537,관악02,01,[01] 06:38,14_기숙사삼거리,14,14,기숙사삼거리,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:02,1,15
11110537,관악02,01,[01] 06:38,15_공동기기원,15,15,공동기기원,서울70사8904,06:38,2019-09-02 6:38,,0,15
11110537,관악02,01,[01] 06:38,16_유전공학연구소.반도체공동연구소,16,16,유전공학연구소.반도체공동연구소,서울70사8904,06:38,2019-09-02 6:38,,0,15
11110537,관악02,01,[01] 06:38,17_에너지자원연구소,17,17,에너지자원연구소,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:06,1,16
11110537,관악02,01,[01] 06:38,18_신소재연구소,18,18,신소재연구소,서울70사8904,06:38,2019-09-02 6:38,,0,16
11110537,관악02,01,[01] 06:38,19_제2파워플랜트,19,19,제2파워플랜트,서울70사8904,06:38,2019-09-02 6:38,,0,16
11110537,관악02,01,[01] 06:38,20_건설환경종합연구소,20,20,건설환경종합연구소,서울70사8904,06:38,2019-09-02 6:38,,0,16
11110537,관악02,01,[01] 06:38,21_제2공학관,21,21,제2공학관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:10,1,17
11110537,관악02,01,[01] 06:38,22_유회진학술정보관.제1공학관,22,22,유회진학술정보관.제1공학관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,23_유전공학연구소.반도체공동연구소,23,23,유전공학연구소.반도체공동연구소,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,24_교수회관입구,24,24,교수회관입구,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,25_관악사삼거리,25,25,관악사삼거리,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,26_대학원생활관,26,26,대학원생활관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,27_노천강당,27,27,노천강당,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,28_학부생활관,28,28,학부생활관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,29_BK국제관,29,29,BK국제관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,30_가족생활동,30,30,가족생활동,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,31_호암교수회관,31,31,호암교수회관,서울70사8904,06:38,2019-09-02 6:38,,0,17
