노선id,노선번호,운행회차,회차,정류소번호명,정류소번호,정류소순번,정류소명,차량번호,운행출발일시,운행출발연월일시,하차일시,인원,누적인원
11110537,관악02,1,[01] 06:44,01_낙성대역,1,1,낙성대역,서울70사8904,6:44,2019-09-02 6:44,2019-09-02 6:44,1,1
11110537,관악02,1,[01] 06:44,02_낙성대입구,2,2,낙성대입구,서울70사8904,6:44,2019-09-02 6:44,2019-09-02 6:53,1,2
11110537,관악02,1,[01] 06:44,03_인헌초등학교,3,3,인헌초등학교,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,04_낙성대현대아파트,4,4,낙성대현대아파트,서울70사8904,6:44,2019-09-02 6:44,2019-09-02 6:55,0,2
11110537,관악02,1,[01] 06:44,05_낙성대공원.관악복합평생교육센터,5,5,낙성대공원.관악복합평생교육센터,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,06_서울과학전시관,6,6,서울과학전시관,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,07_호암교수회관,7,7,호암교수회관,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,08_인헌아파트,8,8,인헌아파트,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,09_교수아파트,9,9,교수아파트,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,10_가족생활동,10,10,가족생활동,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,11_서울대후문.연구공원,11,11,서울대후문.연구공원,서울70사8904,6:44,2019-09-02 6:44,,0,2
11110537,관악02,1,[01] 06:44,12_학부생활관,12,12,학부생활관,서울70사8904,6:44,2019-09-02 6:44,2019-09-02 7:35,0,2
11110537,관악02,1,[01] 06:44,13_대학원생활관,13,13,대학원생활관,서울70사8904,6:44,2019-09-02 6:44,2019-09-02 7:35,2,4
11110537,관악02,1,[01] 06:44,14_기숙사삼거리,14,14,기숙사삼거리,서울70사8904,6:44,2019-09-02 6:44,,0,4
11110537,관악02,1,[01] 06:44,15_공동기기원,15,15,공동기기원,서울70사8904,6:44,2019-09-02 6:44,,0,4
11110537,관악02,1,[01] 06:44,16_유전공학연구소.반도체공동연구소,16,16,유전공학연구소.반도체공동연구소,서울70사8904,6:44,2019-09-02 6:44,,0,4
11110537,관악02,1,[01] 06:44,17_에너지자원연구소,17,17,에너지자원연구소,서울70사8904,6:44,2019-09-02 6:44,,0,4
11110537,관악02,1,[01] 06:44,18_신소재연구소,18,18,신소재연구소,서울70사8904,6:44,2019-09-02 6:44,,0,4
11110537,관악02,1,[01] 06:44,19_제2파워플랜트,19,19,제2파워플랜트,서울70사8904,6:44,2019-09-02 6:44,,0,4
11110537,관악02,1,[01] 06:44,20_건설환경종합연구소,20,20,건설환경종합연구소,서울70사8904,6:44,2019-09-02 6:44,,0,4
